Timestamp,Wind speed (m/s),Wind direction (°),Nacelle position (°),Energy Export (kWh),Power (kW),Rotor current (A),Rotor speed (RPM),Generator RPM (RPM),"Generator RPM, Max (RPM)","Generator RPM, Min (RPM)","Generator RPM, Standard deviation (RPM)","Rotor speed, Max (RPM)","Rotor speed, Min (RPM)","Rotor speed, Standard deviation (RPM)",Blade angle (pitch position) (°),"Blade angle (pitch position), Max (°)","Blade angle (pitch position), Min (°)","Blade angle (pitch position), Standard deviation (°)",Grease left generator bearing,Grease left shaft bearing,direccion (grados),presion (hPa),Xpos,Ypos,Zpos,Turbine
2018-01-01 02:10:00,4.84210538864136,336.2646484375,340.0,66.0,401.742095947266,186.784210205078,10.6210527420044,1131.67370605469,1263.40002441406,1047.40002441406,57.4383697509766,11.8999996185303,9.80000019073486,0.555904924869537,1.30526304244995,2.09999990463257,0.5,0.418611347675324,0.0,0.0,136.626220703125,994.410034179688,529117,6281142,174,WTG-1
2018-01-01 02:20:00,4.97142839431763,328.338562011719,332.376129150391,60.0,397.147613525391,186.871429443359,10.5666666030884,1127.33337402344,1265.69995117188,1055.80004882813,48.2739295959473,11.8000001907349,9.89999961853027,0.446503281593323,0.904763579368591,1.79999995231628,-0.200000002980232,0.458232820034027,0.0,0.0,134.801086425781,994.085021972656,529117,6281142,174,WTG-1
2018-01-01 02:30:00,5.79500007629395,323.336151123047,330.0,76.0,562875,228.044998168945,11.75,1249.41003417969,1466.90002441406,1108.69995117188,79.6416015625,13.8000001907349,10.3999996185303,0.769740283489227,0.590003609657288,1.70000004768372,-0.5,0.534696161746979,0.0,0.0,134.19303894043,993.957153320313,529117,6281142,174,WTG-1
2018-01-01 02:40:00,5.12631559371948,324.530151367187,330.0,86.0,393.084197998047,186.078948974609,10.5736837387085,1125.29467773438,1263.0,1050.09997558594,60.4964904785156,11.8999996185303,9.89999961853027,0.573853194713593,0.66315895318985,1.60000002384186,-0.300000011920929,0.492267072200775,0.0,0.0,132.204727172852,994.14208984375,529117,6281142,174,WTG-1
2018-01-01 02:50:00,6.93333339691162,323.076324462891,325.142791748047,80.0,729.223815917969,274.399993896484,12.8904762268066,1374.56188964844,1528.19995117187,1203.59997558594,75.4178237915039,14.3999996185303,11.3000001907349,0.717737555503845,359.919036865234,0.400000005960465,-0.600000023841858,0.275368243455887,0.0,0.0,125.565422058105,994.042846679688,529117,6281142,174,WTG-1
2018-01-01 03:00:00,5.92000007629395,325.41259765625,325.0,134.0,554.044982910156,225.789993286133,11.6149997711182,1235.64001464844,1523.80004882813,1049.09997558594,154.512359619141,14.3000001907349,9.89999961853027,1.44127559661865,0.424974620342255,2.20000004768372,-0.600000023841858,0.899930536746979,0.0,0.0,133.528182983398,993.989501953125,529117,6281142,174,WTG-1
2018-01-01 03:10:00,5.34736824035645,325.572967529297,325.0,70.0,535.968444824219,224.931579589844,11.6000003814697,1235.75793457031,1401.90002441406,1034.80004882813,104.018257141113,13.1999998092651,9.69999980926514,0.99419379234314,1.54670166969299,7.90000009536743,-0.200000002980232,1.58425438404083,0.0,0.0,134.684188842773,993.7158203125,529117,6281142,174,WTG-1
2018-01-01 03:20:00,6.82105255126953,323.199035644531,325.0,104.0,856.021057128906,306.163146972656,13.6368417739868,1452.48950195313,1647.80004882813,1276.5,108.04460144043,15.5,12.0,1.01888000965118,0.305261343717575,1.39999997615814,-0.600000023841858,0.582619965076447,0.0,0.0,132.439788818359,993.635009765625,529117,6281142,174,WTG-1
2018-01-01 03:30:00,5.82380962371826,323.924041748047,325.0,164.0,685.552368164062,252.66667175293,12.2238092422485,1303.56188964844,1602.69995117188,1049.30004882813,191.631591796875,15.1000003814697,9.80000019073486,1.81131482124329,0.761892855167389,2.40000009536743,-0.600000023841858,0.808570861816406,0.0,0.0,133.921813964844,993.511108398437,529117,6281142,174,WTG-1
2018-01-01 03:40:00,4.21000003814697,331.633239746094,328.250427246094,76.0,269.644989013672,159.145004272461,9.89499950408936,1053.43005371094,1079.80004882813,1047.30004882813,8.26815223693848,10.1999998092651,9.80000019073486,0.097339555621147,1.85000002384186,2.5,1.29999995231628,0.399374514818192,0.0,0.0,136.175277709961,993.715026855469,529117,6281142,174,WTG-1
